City,SubArea,Date,Address,BuildingType,LandArea,BuiltUp,PricePsf,Price
ampang,taman-sri-raya,13/11/2014,"✕✕✕✕✕✕, JALAN MERDEKA",TERRACE PLOT - RESIDENTIAL USE,0 ft²,232,"516,000","
							"
ampang,taman-sri-raya,,,,,,,
ampang,jalan-bukit-belacan,13/11/2013,"✕✕✕✕✕ ✕✕✕✕ ✕ ✕/✕, JALAN BUKIT BELACHAN",DEVELOPMENT LAND - UNSPECIFIED USE,0 ft²,45,"4,900,000","
							"
ampang,jalan-bukit-belacan,,,,,,,
ampang,kampung-pandan-dalam,23/11/2016,"✕✕✕✕✕✕, JALAN CEMPAKA 31",DETACHED PLOT - RESIDENTIAL USE,0 ft²,115,"310,000","
							"
ampang,kampung-pandan-dalam,17/08/2016,"✕✕✕✕✕✕, JALAN CEMPAKA 31",DETACHED PLOT - RESIDENTIAL USE,0 ft²,133,"320,000","
							"
ampang,kampung-pandan-dalam,22/07/2016,"✕✕ ✕✕✕✕, JALAN CEMPAKA 31",DETACHED PLOT - RESIDENTIAL USE,0 ft²,102,"250,000","
							"
ampang,kampung-pandan-dalam,01/04/2014,"✕✕✕ ✕✕, JALAN H",EMPTY PLOT - RESIDENTIAL USE,0 ft²,42,"100,000","
							"
ampang,kampung-pandan-dalam,,,,,,,
subang-jaya,ss-12,27/10/2014,"✕✕ ✕✕✕✕, JALAN SS 12/3",DETACHED PLOT - RESIDENTIAL USE,0 ft²,122,"770,000","
							"
subang-jaya,ss-12,,,,,,,
ampang,taman-maju-jaya,25/06/2013,"✕✕✕ ✕✕✕✕✕ (✕✕✕✕✕✕✕), JALAN PANDAN INDAH",DETACHED PLOT - RESIDENTIAL USE,0 ft²,90,"501,000","
							"
ampang,taman-maju-jaya,,,,,,,
subang-jaya,sime-uep-industrial-park,05/08/2014,"✕✕✕✕✕, JALAN TP 6",DETACHED PLOT - INDUSTRIAL USE,0 ft²,115,"6,500,000","
							"
subang-jaya,sime-uep-industrial-park,,,,,,,
petaling-jaya,taman-medan,02/07/2015,"✕✕ ✕✕✕✕, JALAN MEDAN 10",EMPTY PLOT - COMMERCIAL USE,0 ft²,102,"1,800,000","
							"
petaling-jaya,taman-medan,,,,,,,
subang-jaya,ss-13,17/10/2016,"✕, JALAN SS 13/3F",EMPTY PLOT - INDUSTRIAL USE,0 ft²,83,"1,000,000","
							"
subang-jaya,ss-13,,,,,,,
beranang,off-jalan-semenyih,22/05/2017,"✕✕ ✕✕✕✕✕, PERSIARAN TASIK KESUMA",EMPTY PLOT - UNSPECIFIED USE,0 ft²,35,"8,993,160","
