"ampang, jalan cahaya 15",
"ampang, jalan cahaya 15",
"ampang, jalan dagang 8a",
"ampang, jalan dagang 10",
"subang jaya, jalan usj 1/33",
"subang jaya, jalan usj 1/31",
"subang jaya, jalan usj 1/33",
"subang jaya, jalan usj 1/33",
"subang jaya, jalan usj 1/33",
"subang jaya, ss 13/3f",
"subang jaya, jalan ss13/3e",
"subang jaya, jalan ss 13/3b",
"subang jaya, jalan ss 13/6c",
"subang jaya, jalan ss 13/6b",
"serendah, jalan sungai choh",
"semenyih, jalan 1, kawasan perindustrian hi-tech 2",
"semenyih, jalan 1, kawasan perindustrian hi-tech 2",
"semenyih, jalan hi-tech 5",
"semenyih, jalan 1",
"semenyih, jalan hi-tech 6",
"semenyih, jalan 1, kawasan perindustrian hi-tech 2",
"semenyih, jalan 1, kawasan perindustrian hi-tech 2",
"kajang, jalan perindustrian bj 2t 1/1",
"kajang, off jalan simpang balak",
"klang, jalan perusahaan 27",
"klang, jalan saksama 25/39",
"klang, jalan unggul 25/40",
"selayang, jalan su 23",
"petaling jaya, ss8/4",
"petaling jaya, ss8/6",
"shah alam, jalan sp 4/1",
"shah alam, jalan tpp 5/5",
"rawang, jalan bj 6",
"rawang, jalan bj 7",
"rawang, jalan bj 5",
"rawang, jalan bj7",
"rawang, jalan bj7",
"rawang, & Š“«Š“«, jalan bj 2",
"rawang, jalan bj 5",
"rawang, jalan bj 5",
"rawang, jalan bj 6",
"rawang, jalan bj 7",
"rawang, jalan 3",
"rawang, jalan 3",
"rawang, jalan 4",
"rawang, jalan 4",
"rawang, jalan",
"rawang, jalan 4",
"rawang, jalan 4",
"rawang, jalan 5",
"rawang, jalan 4",
"rawang, jalan empat",
"rawang, jalan industri 2/1",
"rawang, jalan 3/6",
"rawang, jalan perindustrian hijau 4",
"rawang, jalan seri hijau 6",
"rawang, jalan perindustrian hijau 4",
"rawang, jalan perindustrian hijau 2",
"rawang, jalan perindustrian hijau 2",
"rawang, jalan perindustrian hijau 2",
"rawang, jalan velox 2",
"rawang, jalan velox 2",
"rawang, jalan velox 2",
"rawang, jalan velox 1 rawang",
"rawang, jalan velox 1 rawang",
"rawang, jalan velox 2",
"rawang, jalan velox 1",
"rawang, jalan velox 2",
"rawang, jalan velox 1",
"rawang, jalan velox 1",
"rawang, jalan sms 3",
"rawang, jalan sms 2",
"rawang, jalan sms 2",
"rawang, jalan sms 3",
"rawang, jalan sms 3a",
"rawang, jalan sms 1",
"rawang, jalan sms 3",
"rawang, jalan rawang perdana",
"rawang, jalan sms 1",
"rawang, jalan perusahaan 3/1",
"rawang, jalan perusahaan 3",
"rawang, jalan perusahaan 3/3",
"rawang, jalan perusahaan 3/1",
"rawang, jalan perusahaan 3/3",
"rawang, jalan perusahaan 3/3",
"rawang, jalan kri 7",
"rawang, jalan kri 3",
"rawang, jalan kri 3",
"rawang, jalan kri 5",
"rawang, jalan kri 2",
"rawang, jalan kri 2",
"rawang, industri rumah panjang apmc",
"rawang, industri rumah panjang apmc",
"rawang, jalan kiri 2",
"rawang, jalan kri 2",
"rawang, jalan pkp 3/1",
"rawang, jalan kpk 1/7",
"rawang, jalan kpk 1/8",
"rawang, jalan kpk 1/8",
"rawang, jalan kpk 1/5",
"rawang, jalan kpk 1/7",
"rawang, jalan kpk 1/7",
"rawang, jalan kpk 1/7",
"rawang, jalan kpk 3/1",
"rawang, saujana teknologi rawang",
"rawang, saujana teknologi rawang",
"rawang, saujana teknologi rawang",
"semenyih, off jalan bangi lama",
"semenyih, off jalan bangi lama",
"rawang, jalan kuala garing",
"rawang, off jalan batu arang",
"rawang, jalan besar garing utama",
"rawang, jalan perusahaan 3",
"rawang, jalan perusahaan 7",
"selayang, jalan batu caves",
"rawang, off jalan rawang - ipoh",
"rawang, off jalan rawang - ipoh",
"rawang, off jalan rawang - ipoh",
"rawang, off jalan rawang - ipoh",
"rawang, jalan brp 9/1b",
"rawang, jalan brp 9/1c",
"rawang, jalan brp 9/1b",
"rawang, jalan brp 9/1c",
"selayang, jalan su 26",
"selayang, jalan su 24",
"selayang, jalan su 26",
"selayang, jalan su 27",
"selayang, jalan 2/4",
"selayang, jalan 2/5",
"selayang, jalan bidara 2/5",
"selayang, jalan 2/5",
"selayang, jalan bidara 1",
